,Name,Country,Room_stayed,Date_stayed,Trip_type,Review_date,Review_title,Positive,Negative,Reviewer_score
1084,Alex,United Kingdom,Studio Suite,1 night ·  September 2019,Couple,Reviewed: 2 September 2019,"Good Room, Bad view and Fair Price","Enjoyed the roof bar, especially the view from the top. Tim during dropping our bags off was extremely nice and polite. the room services arrived earlier than expected and the food was delicious.","Danilo was a bit of a dick when dealing with an issue regarding my 17-year-old girlfriend's check-in, this could've been avoided if they sent an email requesting permission prior to check-in. The view from the room was especially underwhelming since the window was too small, there was no toilet brush to deal with 'skids'.",6.2
1085,J,United Arab Emirates,Superior Double Room with City View,1 night ·  August 2019,Couple,Reviewed: 1 September 2019,Would have expected much better service we,Location/ views,Would have expected much better service....,5.8
1086,Stephen,Ireland,Superior Double Room,3 nights ·  September 2019,Couple,Reviewed: 1 September 2019,Very good,Breakfast on 37th floor. Restaurant was extremely good on the Saturday,Breakfast on 38th floor.,7.1
1087,Matilda,United Kingdom,Superior Double Room,2 nights ·  August 2019,Couple,Reviewed: 31 August 2019,Good,Restaurant and bar made the property!,Room cleansers didn’t add new towels and left dirty cups!,7.1
1088,Diana,United Kingdom,Superior Double Room,2 nights ·  August 2019,Family,Reviewed: 28 August 2019,"Not nice, will not recommend.","The Bar on the roof top was nice lovely views over London, the only nice thing about the hotel.
The staff member that changed our room during our stay I have to say was very professional and accommodating.","The rooms are not sound proof so you can hear the people banging and playing music and shouting from the room above us. You can also hear the showers being used, and also the toilet when flushed, not pleasant at all.
Also we left our room at 12.00 and return at 4.30 our room was still not cleaned, bed not made, although I had made it myself, and the cleaner came at 5.30 to clean the room, unbelievable, we were relaxing and told her to leave it.",5.8
1089,Robertyx,United Kingdom,Superior Double Room,1 night ·  August 2019,Couple,Reviewed: 23 August 2019,Disappointing and better alternatives,New fixtures and fittings,"No Parking. Poor staff attitude, towels all over the floor and no clean towels in changing rooms. No fraught beer available. Expensive bar. Brittannia across the toad has parking, cheap drinks and friendly staff.",3.8
1090,Shell,United Kingdom,Superior Double Room,1 night ·  July 2019,Couple,Reviewed: 23 August 2019,average,The room itself was lovely,The check-in was a bit hectic and the rooftop was closed the day we stayed which was one of the reasons I booked this place.,7.1
1091,Anonymous,United Kingdom,Superior Twin Room,1 night ·  August 2019,Family,Reviewed: 20 August 2019,Pleasant,"The rooms are spacious, the beds are also very comfy. Good location.",Asked for a twin room but the beds had been pushed together and unable to separate due to only one sheet. Unclear whether we would have to pay for the facilities such as the pool.,6.2
1092,Veronique,United Kingdom,Superior Double Room,1 night ·  August 2019,Solo traveller,Reviewed: 19 August 2019,Overall quite disappointed considering I was looking forward to my stay.,The location was good for the purpose of my trip. The staff were friendly and organised my taxis. Lovely view from restaurant.,"Very disappointed with the room. I arrived in the late evening. My bathroom sink was blocked. When I ran the tap, the sink filled with stagnant foul smelling water. I contacted reception. It was late in the evening and I wanted to settle for the night due to an important meeting the morning after. It was not appropriate to move at that time. I had to make do. This is not something I would expect from any hotel or B&B and definitely for one I paid over £200 for a night. 
Breakfast did not really have much gluten free options.",5.4
1093,Modestas,United Kingdom,Superior Double Room,1 night ·  August 2019,Couple,Reviewed: 13 August 2019,Good,The roof top bar!!,Stains in carpet,7.1
1094,Rachel,United Kingdom,Executive Suite,1 night ·  August 2019,Couple,Reviewed: 12 August 2019,Pleasant,Very modern rooms.,"Room wasn’t ready for check-in time was told would need to wait 30-60mins after 15.00 check-in for room.
Was told in the restaurant that even though booking was for 2people in executive suit, the inclusive breakfast was for 1 person only!! Really annoyed me.",6.7
1095,Aaron,Germany,Superior Double Room,3 nights ·  July 2019,Group,Reviewed: 11 August 2019,Okay,The view,The doorman of the restaurant was very unfriendly.,5.8
1096,Tianjiao,United Kingdom,Superior Double Room,3 nights ·  August 2019,Group,Reviewed: 11 August 2019,Pleasant,The hotel locates in Canary Wharf which is a bit far from the center however the underground station is only 10mins away by walk. The reception staff is friendly and the breakfast on the 38th floor has a very nice view.,We arrived in the morning and were told the room is ready but £30 extra for an early check in which we didn’t do it. So we went out and came back at night around 11pm. Checked in and when I went to use the bathroom noticed that there were a clump of hair on the towel. There were also blood stain and body hair on the bed too. I immediately called the housekeeping and the woman on the phone seemed doesn’t understand me. I waited for 15mins no one came up so I had to call the reception asking for the person who was in charge. I then got speak to this gentleman. After I showed him the hair he explained that the hair on the towel was unacceptable that they will definitely investigate however the hair on the bed looks like the hair from someone’s arm. He asked me what he could do for me and I asked for another room which he told me “the hotel was full” without even checking or thinking. He did offer me new towel and asked if I need the bed sheet changed but at 11:30pm I just couldn’t wait any longer after spending all day out!!,6.2
1097,Kris,United States,Superior Double Room,3 nights ·  August 2019,Solo traveller,Reviewed: 7 August 2019,Business district stay,Room was nice and close to a couple decent restaurants. Easy walk to the tube.,"Too far from downtown but an easy walk to the station and a short ride to wherever you needed to go. Also the staff wasn’t the most friendly, maybe they were just a bit short in their delivery of info.",6.2
1098,Enrico,United Kingdom,Superior Twin Room,2 nights ·  August 2019,Solo traveller,Reviewed: 4 August 2019,Nicely designed hotel,"Nice design, spacious room","When I stayed at the hotel in the past, ataff was was more attentive than this time, but maybe because it was a busy weekend.
Also, certainly nothing the hotel can do much about, but especially on weekends the lift tends to be full of party folks headed to, or coming from the rooftop bar - which cab be a little annoying",6.7
1099,Donna,United Kingdom,Superior Twin Room,1 night ·  July 2019,Group,Reviewed: 28 July 2019,Nice hotel,Staff were helpful and friendly,Bathroom needed some refurb ceiling was all damp. Sheet on bed had marks on it.,6.7
1100,Demmileigh,United Kingdom,Superior Double Room,1 night ·  July 2019,Couple,Reviewed: 24 July 2019,Passable,I asked for roses on the bed for arrival and the iron also burnt my boyfriends top,Not Available,5.4
1101,Obaid,United Arab Emirates,Executive Double Room,6 nights ·  July 2019,Couple,Reviewed: 24 July 2019,Passable,"1) when I arrived to the hotel I had to take my luggage to the room by my self and I had three large bags with small bags (it is my first time to experience such a thing with a hotel in this world!!)
2) I stayed in the hotel around 5 nights ,, Bed sheets were never changed
3) the location of the hotel is bad for people who wants to see London (Hyde park, harrods ..etc)",Not Available,5.0
1102,Chris,United Kingdom,Superior Twin Room,3 nights ·  July 2019,Couple,Reviewed: 23 July 2019,"Rude staff, completely unprofessional","The staff in both the main hotel and restaurant were rude and dismissive (all apart from one). Our welcome to the hotel felt as if we disturbed the receptionist break as we were quickly checked in with no information on where our room was, where breakfast was held, where any of the facilities are located. Our dinner at the extremely poorly run restaurant was completely ruined by the chef and waiter having a full and animated argument only 2feet from our table. Our order was not taken by the waiter who sat us instead he decided to get someone else. Our plates were left on the table for an extremely long time between courses and staff seemed upset that my partner did not enjoy the main course, at one stage rolling their eyes as they walked away. The shower in our room was not water tight and left a pool of water across the floor after each shower, there was also a brown stain on the carpet which I can only hope was not what I thought it was. Terrible hotel experience would not recommend.",Not Available,3.3
1103,Nayema,United Kingdom,Superior Double Room,1 night ·  June 2019,Group,Reviewed: 20 July 2019,"Don't waste your money, there are better hotels in central london with more facilities and cheaper",the location,staff didn't greet me and left me waiting while another couple were served before me when they came after me. I sensed a different experience due to my asian nationality. staff were more helpful to white nationality.,5.0
1104,Zr,Canada,Superior Double Room,3 nights ·  July 2019,Couple,Reviewed: 15 July 2019,Pleasant,Location was a 10+ minute walk to the nearest tube station.,Not Available,6.7
1105,Julia,United Kingdom,Superior Double Room,1 night ·  July 2019,Couple,Reviewed: 12 July 2019,Very expensive and only average ...,"Friendly staff but not warm, just doing their job","For an expensive stay rate ; no breakfast included, full English £25 pp - how can you justify that; no teaspoons to stir coffee, only two English breakfast teabags, enough milk for one cup, view of buildings ugly (not relaxing at all)... there are better night rates with breakfast included and nicer venues in London. First few times I stayed attention to detail and inclusive rates were better... or was it just an unfortunate visit?",3.3
1106,Alexandra,United States,Superior Twin Room,4 nights ·  June 2019,Solo traveller,Reviewed: 10 July 2019,Pleasant,The breakfast and Bokan 37/38 atmosphere and views were great.,"I anticipated that there would be service on the rooftop terrace, not only the indoor restaurant. The room and pool/gym facilities were satisfactory. There was no bathrobe/slippers in the room, which for the price per night, you would expect. In terms of value, I think there are better options overall.",6.7
1107,Michael,Germany,Superior Double Room,4 nights ·  July 2019,Solo traveller,Reviewed: 5 July 2019,"Nice on the outside, dark in the inside",there was a nice view about London,"My room wasn’t what I have expected, the room wasn’t clean (a sanitary napkin at the wall ? ) .... and nobody takes care about it, I only received an sorry.",3.3
